country_id,country_code
1,AD
2,AE
3,AF
4,AG
5,AI
6,AL
7,AM
8,AN
9,AO
10,AP
11,AQ
12,AR
13,AS
14,AT
15,AU
16,AW
17,AZ
18,BA
19,BB
20,BD
21,BE
22,BF
23,BG
24,BH
25,BJ
26,BM
27,BN
28,BO
29,BR
30,BS
31,BT
32,BU
33,BW
34,BY
35,BZ
36,CA
37,CC
38,CF
39,CG
40,CH
41,CI
42,CK
43,CL
44,CM
45,CN
46,CO
47,CR
48,CS
49,CU
50,CV
51,CW
52,CX
53,CY
54,CZ
55,DD
56,DE
57,DJ
58,DK
59,DM
60,DO
61,DZ
62,EC
63,EE
64,EG
65,EH
66,EN
67,ER
68,ES
69,ET
70,EU
71,FI
72,FJ
73,FM
74,FO
75,FR
76,GA
77,GB
78,GD
79,GE
80,GF
81,GG
82,GH
83,GI
84,GL
85,GM
86,GN
87,GP
88,GQ
89,GR
90,GT
91,GU
92,GW
93,GY
94,HK
95,HM
96,HN
97,HR
98,HT
99,HU
100,ID
101,IE
102,IL
103,IN
104,IO
105,IR
106,IS
107,IT
108,JM
109,JO
110,JP
111,KE
112,KG
113,KH
114,KI
115,KM
116,KN
117,KP
118,KR
119,KW
120,KY
121,KZ
122,LA
123,LB
124,LC
125,LI
126,LK
127,LR
128,LS
129,LT
130,LU
131,LV
132,LY
133,MA
134,MC
135,MD
136,ME
137,MG
138,MH
139,MK
140,ML
141,MM
142,MN
143,MO
144,MP
145,MQ
146,MR
147,MS
148,MT
149,MU
150,MV
151,MW
152,MX
153,MY
154,MZ
155,NC
156,NE
157,NF
158,NG
159,NI
160,NL
161,NO
162,NR
163,NT
164,NU
165,NZ
166,OM
167,PA
168,PE
169,PF
170,PG
171,PH
172,PK
173,PL
174,PM
175,PN
176,PR
177,PT
178,PW
179,PY
180,QA
181,RE
182,RO
183,RU
184,SA
185,SB
186,SC
187,SD
188,SE
189,SG
190,SH
191,SI
192,SK
193,SL
194,SN
195,SO
196,SR
197,SS
198,ST
199,SV
200,SY
201,SZ
202,TC
203,TD
204,TF
205,TG
206,TH
207,TJ
208,TK
209,TL
210,TM
211,TN
212,TO
213,TR
214,TT
215,TV
216,TW
217,TZ
218,UA
219,UG
220,UM
221,US
222,UY
223,UZ
224,VA
225,VC
226,VE
227,VG
228,VI
229,VN
230,VU
231,XC
232,XM
233,YT
234,ZA
235,
