us_port,shipment_count
"Los Angeles, California",10753687
"New York/Newark Area, Newark, New Jersey",9415044
"Long Beach, California",8530629
"Savannah, Georgia",3455774
"Houston, Texas",2918884
"Tacoma, Washington",2720530
"Charleston, South Carolina",2517400
"Norfolk, Virginia",2494612
"Oakland, California",2202666
"Seattle, Washington",2023930
"Miami, Florida",1422383
"Baltimore, Maryland",853682
"New York, New York",713838
"Port Everglades, Florida",685569
"Philadelphia, Pennsylvania",538079
